Job ID,Current (A),Voltage (V),Travel Speed (mm/min),Wire Feed Rate (m/min),Torch Angle (Â°),Gap Size (mm),Thickness (mm),Distortion (mm),Bead Width (mm),Result
J001,180,23,380,6,15,1,3,0.8,7.5,Pass
J002,190,24,350,6.5,15,2,4,1.1,8.2,Pass
J003,210,25,320,7,20,3,5,2,9.3,Pass
J004,220,26,300,7.5,15,4,6,3.2,10.7,Fail
J005,170,22,420,5.5,10,1.5,3,0.7,7,Pass
J006,200,24,340,6.8,15,3.5,4,2.5,9.4,Fail
J007,230,27,280,8,20,2,8,2.8,10.8,Pass
J008,185,23,360,6.2,10,4,4,3.1,10.2,Fail
J009,210,25,300,7.2,15,2.5,6,1.9,9.6,Pass
J010,240,28,250,8.5,20,5,8,4.5,12.5,Fail
J011,175,22,400,5.8,10,1,3,0.6,7.1,Pass
J012,195,24,330,6.6,15,2.5,5,1.8,8.9,Pass
J013,225,26,290,7.8,20,3.5,8,3.3,11,Fail
J014,205,25,310,7,15,2,6,1.6,9.2,Pass
J015,185,23,370,6.2,10,4.5,4,3.4,10.4,Fail
J016,215,25,300,7.3,15,1.5,8,1.5,9,Pass
J017,190,24,340,6.4,20,3,5,2.2,9.5,Pass
J018,235,27,270,8.2,20,4,10,4,11.8,Fail
J019,180,23,390,5.9,10,2,3,1,7.8,Pass
J020,220,26,290,7.5,15,3,6,2.7,10.1,Pass
S001,182.5,23.25,372.5,6.125,15,1.25,3.25,0.875,7.675,Pass
S002,187.5,23.75,357.5,6.375,15,1.75,3.75,1.025,8.02499999999999,Pass
S003,195,24.25,342.5,6.625,16.25,2.25,4.25,1.325,8.475,Pass
S004,205,24.75,327.5,6.875,18.75,2.75,4.75,1.775,9.025,Pass
S005,192.5,24,347.5,6.575,15,2.375,4,1.45,8.5,Pass
S006,197.5,24,342.5,6.725,15,3.125,4,2.15,9.1,Pass
S007,207.5,24.75,325,6.95,18.75,3.125,4.75,2.125,9.325,Pass
S008,202.5,24.25,335,6.85,16.25,3.375,4.25,2.375,9.375,Pass
S009,196.25,23.75,345,6.64999999999999,13.75,3.625,4,2.65,9.6,Fail
S010,188.75,23.25,355,6.35,11.25,3.875,4,2.95,10,Fail
S011,185,23,362.5,6.2,10,4.125,4,3.175,10.25,Fail
S012,185,23,367.5,6.2,10,4.375,4,3.32499999999999,10.35,Fail
S013,197.5,24,340,6.69999999999999,16.25,3.375,4.25,2.425,9.425,Pass
S014,192.5,24,340,6.5,18.75,3.125,4.75,2.275,9.475,Pass
S015,208.75,25,302.5,7.15,15,2.375,6,1.82499999999999,9.5,Pass
S016,206.25,25,307.5,7.05,15,2.125,6,1.675,9.29999999999999,Pass
S017,193.75,24,332.5,6.54999999999999,16.25,2.625,5,1.9,9.05,Pass
S018,191.25,24,337.5,6.45,18.75,2.875,5,2.1,9.35,Pass
S019,208.75,25,317.5,7,18.75,2.75,5.25,1.9,9.275,Pass
S020,206.25,25,312.5,7,16.25,2.25,5.75,1.7,9.225,Pass
S021,220,26,297.5,7.5,15,3.75,6,3.075,10.5499999999999,Fail
S022,220,26,292.5,7.5,15,3.25,6,2.825,10.25,Pass
S023,226.25,26.5,285,7.825,18.75,1.875,8,2.47499999999999,10.35,Pass
S024,218.75,25.5,295,7.475,16.25,1.625,8,1.825,9.45,Pass
S025,238.75,27.75,255,8.425,20,4.75,8.5,4.375,12.325,Fail
S026,236.25,27.25,265,8.27499999999999,20,4.25,9.5,4.125,11.975,Fail
S027,223.75,26,290,7.725,18.75,3.375,7.5,3.14999999999999,10.775,Fail
S028,221.25,26,290,7.575,16.25,3.125,6.5,2.85,10.325,Pass
S029,183.75,23,375,6.125,10,3.875,3.75,2.8,9.75,Fail
S030,181.25,23,385,5.975,10,2.625,3.25,1.6,8.45,Pass
